case	value	http_status	bytes	count	first_url	message
max-0	maxResults=0	400	35			Invalid request body
max-negative	maxResults=-1	400	35			Invalid request body
max-2	maxResults=2	200	3717	2	https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html	
max-10	maxResults=10	200	15084	10	https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html	
max-100	maxResults=100	200	158056	100	https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html	
max-101	maxResults=101	400	35			Invalid request body
max-1000	maxResults=1000	400	35			Invalid request body
max-string	maxResults="1"	400	35			Invalid request body
offset-1	offset=1	200	158056	100	https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html	
start-index-1	startIndex=1	200	157522	100	https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html	
next-token	nextToken="not-a-real-token"	200	157522	100	https://docs.aws.amazon.com/amazondynamodb/latest/developerguide/GSI.html	
